id;procedura;cantitate;produs_id;proces_verbal_id
4b25585b-7c7b-4c87-a40f-db625ab52819;DEZINFECTIE;30788;112ed4fc-40f4-4587-bc56-21d936b3743f;0be10fa0-c79c-4e0e-ba2e-f158bcffb889
5befe1f1-6638-4436-b6e0-a4275bff654d;DEZINFECTIE;5155;2ec5cfe0-27c5-4032-80de-d605894242a5;3fe3655e-497b-4274-863f-e2a6c0615e07
ad0528f6-b27c-4e95-849c-48ff95f8e9ec;DERATIZARE;8882;767420f0-d4cc-48e2-9de8-92671347104a;bb0ca059-c83f-44d6-a86e-377a31e9f964
63175e9d-07d6-411f-9a1f-7eb06d3474fa;DEZINFECTIE;19227;b6bf449c-3131-4136-9647-f53089197bbf;9fd86c1b-e6a8-47b7-9875-6c1f3d54c158
c7fc1055-8eaf-4fc3-b78e-384c3c5c3f15;DEZINSECTIE;612;50a7ea5a-938d-4b55-a376-1005874fda5c;9b29ba7e-0e50-4573-8d3f-a6e85791d886
95571a9d-fb81-4d0f-b86d-3cabe6300a9c;DERATIZARE;631;58df5510-ad68-42e9-9397-ffad2263cdf2;1c746e02-e64d-4b39-b616-51ad003d1b7f
e75799cc-3137-4e8e-ae72-51a6187f26b2;DEZINFECTIE;18911;385c806b-d758-4f0b-9ff3-62d4bf18c7bd;6ef6fff7-5fd3-48ed-9901-0a646f06e977
aa05a7f0-f99a-4453-b6da-d687a50ac674;DEZINSECTIE;23471;b05f234d-ee42-4caa-88e3-53936bb9a400;7cb8e9de-7727-4193-9926-08168593d73a
93c020c0-21b3-4069-89d2-65302af3933a;DEZINFECTIE;9409;484d18fb-f61c-40c8-9230-0b71f9e178ad;44c76206-6776-49e1-8d89-a7421fe269ed
d6fd5f37-733e-42f8-a66d-1f426fd71f59;DERATIZARE;29551;234e9b03-91ac-4251-bf92-d51a927e220c;9a5e35bb-8a88-45e5-be0e-f514d608003e
